location,special
1st Floor Hallway,
2nd Floor Hallway,
3rd Floor Hallway,
3rd Floor North Staffroom 1,4
3rd Floor North Staffroom 2,
3rd Floor North Staffroom 3,
3rd Floor North Staffroom 4,
400 Wing Back Storage 1,3
400 Wing Back Storage 2,
400 Wing Back Storage 3,
400 Wing Staffroom,
400 Wing Tech Ed Hallway 1,3
400 Wing Tech Ed Hallway 2,
400 Wing Tech Ed Hallway 3,
Auto Shop Center Room 1,multi-room
Auto Shop Center Room 2,multi-room
Aux Gym 1,3
Aux Gym 2,
Aux Gym 3,
Aux Gym Equipment Room,
Aux Gym Hallway,
Band Room Hallway 1,3
Band Room Hallway 2,
Band Room Hallway 3,
Black Room 1,2
Black Room 2,
Commentary Box,
Drama Studio 1,10
Drama Studio 2,
Drama Studio 3,
Drama Studio 4,
Drama Studio 5,
Drama Studio 6,
Drama Studio 7,
Drama Studio 8,
Drama Studio 9,
Drama Studio 10,
Drama Studio Hallway,
Gallery 1,2
Gallery 2,
Math Resource 1,2
Math Resource 2,
Media Room Hallway,
North Foyer,
North Bleachers 1,2
North Bleachers 2,
North Boys Changeroom,
North Cafeteria 1,4
North Cafeteria 2,
North Cafeteria 3,
North Cafeteria 4,
North Girls Changeroom,
North Gym 1,4
North Gym 2,
North Gym 3,
North Gym 4,
North Gym Equipment Room 1 1,2
North Gym Equipment Room 1 2,
North Gym Equipment Room 2,multi-room
North Gym Equipment Room 3,multi-room
North Gym Stage 1,8
North Gym Stage 2,
North Gym Stage 3,
North Gym Stage 4,
North Gym Stage 5,
North Gym Stage 6,
North Gym Stage 7,
North Gym Stage 8,
North School Store 1,2
North School Store 2,
North Science Supply 1 1,4
North Science Supply 1 2,
North Science Supply 1 3,
North Science Supply 1 4,
North Science Supply 2,multi-room
North Science Supply 3,multi-room
North Science Supply 4,multi-room
North Stairway 1 1,2
North Stairway 1 2,
North Stairway 2 1,2
North Stairway 2 2,
North Stairway 3 1,2
North Stairway 3 2,
North Stairway 4 1,3
North Stairway 4 2,
North Stairway 4 3,
North Stairway 5,multi-room
Room 101,
Room 103,
Room 105,
Room 107,
Room 108,
Room 109,
Room 110,
Room 111,
Room 112,
Room 113 1,2
Room 113 2,
Room 114 1,2
Room 114 2,
Room 115 1,4
Room 115 2,
Room 115 3,
Room 115 4,
Room 116,
Room 116a,
Room 201,
Room 202,
Room 203,
Room 204,
Room 205,
Room 206,
Room 207,
Room 208 1,2
Room 208 2,
Room 209,
Room 210,
Room 211,
Room 212,
Room 213,
Room 214 1,2
Room 214 2,
Room 215,
Room 218 1,2
Room 218 2,
Room 219,
Room 221 1,2
Room 221 2,
Room 303,
Room 304 1,2
Room 304 2,
Room 305,
Room 306,
Room 307,
Room 308,
Room 309 1,2
Room 309 2,
Room 310 1,2
Room 310 2,
Room 311,
Room 312 1,2
Room 312 2,
Room 313,
Room 314,
Room 315 1,2
Room 315 2,
Room 316,
Room 317,
Room 319,
Room 402 1,9
Room 402 2,
Room 402 3,
Room 402 4,
Room 402 5,
Room 402 6,
Room 402 7,
Room 402 8,
Room 402 9,
Room 406 1,6
Room 406 2,
Room 406 3,
Room 406 4,
Room 406 5,
Room 406 6,
Room 408,
Room 410 1,3
Room 410 2,
Room 410 3,
Room 411 1,3
Room 411 2,
Room 411 3,
Room 412 1,3
Room 412 2,
Room 412 3,
Room 413 1,2
Room 413 2,
Room 414 1,2
Room 414 2,
Room 415 1,5
Room 415 2,
Room 415 3,
Room 415 4,
Room 415 5,
Room 416 1,2
Room 416 2,
School Clothing Store 1,2
School Clothing Store 2,
Science Book Room,
Social Studies Resource Room 1,2
Social Studies Resource Room 2,
Stage Stairs Left 1,3
Stage Stairs Left 2,
Stage Stairs Left 3,
Stage Stairs Right 1,2
Stage Stairs Right 2,
Student Services 1,5
Student Services 2,
Student Services 3,
Student Services 4,
Student Services 5,
The Dungeon 1,2
The Dungeon 2,
Vision Services,
