location,special
Buildings Walkway 1,4
Buildings Walkway 2,
Buildings Walkway 3,
Buildings Walkway 4,
North Courtyard 1,18
North Courtyard 2,
North Perimeter 1,
North Perimeter 2,
North Perimeter 3,
North Perimeter 4,
North Perimeter 5,
North Perimeter 6,
North Perimeter 7,
North Perimeter 8,
North Perimeter 9,
North Perimeter 10,
North Perimeter 11,
North Perimeter 12,
North Perimeter 13,
North Perimeter 14,
North Perimeter 15,
North Perimeter 16,
North Perimeter 17,
North Perimeter 18,
North Roof 1,3
North Roof 2,
North Roof 3,
South Perimeter 1,9
South Perimeter 2,
South Perimeter 3,
South Perimeter 4,
South Perimeter 5,
South Perimeter 6,
South Perimeter 7,
South Perimeter 8,
South Perimeter 9,
